carbon_source,carbon_conc,nitrogen_source,nitrogen_conc,substrate_TR,substrate_MW,substrate_uptake
M_fru,1.000,M_nh4,0.524,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.419,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.336,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.268,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.215,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.172,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.137,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.110,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.088,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.070,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.056,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.045,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.036,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.029,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.026,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.023,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.021,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.019,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.017,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.015,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.014,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.012,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.011,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.010,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.009,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.008,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.007,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.006,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.005,R_NH4t,0.05349,
M_fru,1.000,M_nh4,0.004,R_NH4t,0.05349,
